nIndex=0, start=(317,159), end=(316,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
nIndex=1, start=(349,159), end=(334,0), angle=84.6661, Dis=235.9539, angle diff=5.3339
nIndex=2, start=(317,159), end=(316,0), angle=90.0000, Dis=220.9046, angle diff=5.3339
nIndex=3, start=(317,159), end=(316,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
nIndex=4, start=(332,159), end=(320,0), angle=85.9218, Dis=230.6253, angle diff=4.0782
nIndex=5, start=(327,159), end=(316,0), angle=86.0868, Dis=229.0897, angle diff=7.9914
nIndex=6, start=(326,159), end=(309,0), angle=84.1003, Dis=240.0805, angle diff=9.8129
nIndex=7, start=(326,159), end=(314,0), angle=85.9405, Dis=230.6253, angle diff=9.9592
nIndex=8, start=(328,159), end=(318,0), angle=86.6321, Dis=227.6786, angle diff=7.4274
nIndex=9, start=(326,159), end=(316,0), angle=86.5206, Dis=227.6786, angle diff=6.8473
nIndex=10, start=(326,159), end=(315,0), angle=86.1174, Dis=229.0897, angle diff=7.3620
nIndex=11, start=(326,159), end=(316,0), angle=86.5721, Dis=227.6786, angle diff=7.3105
nIndex=12, start=(326,159), end=(315,0), angle=86.2049, Dis=229.0897, angle diff=7.2230
nIndex=13, start=(325,159), end=(314,0), angle=86.2740, Dis=229.0897, angle diff=7.5212
nIndex=14, start=(325,159), end=(313,0), angle=85.9331, Dis=230.6253, angle diff=7.7929
nIndex=15, start=(326,159), end=(314,0), angle=85.9366, Dis=230.6253, angle diff=8.1303
nIndex=16, start=(326,159), end=(317,0), angle=87.0363, Dis=226.3942, angle diff=7.0271
nIndex=17, start=(326,159), end=(317,0), angle=87.0248, Dis=226.3942, angle diff=5.9389
nIndex=18, start=(326,159), end=(316,0), angle=86.6689, Dis=227.6786, angle diff=6.3063
nIndex=19, start=(328,159), end=(318,0), angle=86.6275, Dis=227.6786, angle diff=6.7036
nIndex=20, start=(329,159), end=(321,0), angle=87.3076, Dis=225.2389, angle diff=6.0649
nIndex=21, start=(328,159), end=(319,0), angle=87.0483, Dis=226.3942, angle diff=5.6441
nIndex=22, start=(326,159), end=(314,0), angle=85.9347, Dis=230.6253, angle diff=7.0170
nIndex=23, start=(323,159), end=(311,0), angle=85.9362, Dis=230.6253, angle diff=8.1291
nIndex=24, start=(322,159), end=(310,0), angle=85.9345, Dis=230.6253, angle diff=8.1293
nIndex=25, start=(321,159), end=(309,0), angle=85.9351, Dis=230.6253, angle diff=8.1305
nIndex=26, start=(321,159), end=(303,0), angle=83.5507, Dis=242.3075, angle diff=10.5142
nIndex=27, start=(319,159), end=(307,0), angle=85.9333, Dis=230.6253, angle diff=10.5160
nIndex=28, start=(319,159), end=(306,0), angle=85.5138, Dis=232.2830, angle diff=8.5529
nIndex=29, start=(320,159), end=(308,0), angle=85.9349, Dis=230.6253, angle diff=8.5513
nIndex=30, start=(322,159), end=(311,0), angle=86.2842, Dis=229.0897, angle diff=7.7809
nIndex=31, start=(322,159), end=(310,0), angle=85.9404, Dis=230.6253, angle diff=7.7754
nIndex=32, start=(322,159), end=(310,0), angle=85.9348, Dis=230.6253, angle diff=8.1249
nIndex=33, start=(322,159), end=(311,0), angle=86.1174, Dis=229.0897, angle diff=7.9478
nIndex=34, start=(323,159), end=(313,0), angle=86.5108, Dis=227.6786, angle diff=7.3717
nIndex=35, start=(323,159), end=(313,0), angle=86.6703, Dis=227.6786, angle diff=6.8189
nIndex=36, start=(323,159), end=(311,0), angle=85.9329, Dis=230.6253, angle diff=7.3968
nIndex=37, start=(321,159), end=(309,0), angle=85.9331, Dis=230.6253, angle diff=8.1339
nIndex=38, start=(321,159), end=(310,0), angle=86.2019, Dis=229.0897, angle diff=7.8649
nIndex=39, start=(319,159), end=(309,0), angle=86.5705, Dis=227.6786, angle diff=7.2276
nIndex=40, start=(319,159), end=(307,0), angle=85.9503, Dis=230.6253, angle diff=7.4792
nIndex=41, start=(320,159), end=(311,0), angle=86.8034, Dis=226.3942, angle diff=7.2463
nIndex=42, start=(321,159), end=(312,0), angle=86.8592, Dis=226.3942, angle diff=6.3374
nIndex=43, start=(323,159), end=(311,0), angle=85.9348, Dis=230.6253, angle diff=7.2060
nIndex=44, start=(324,159), end=(318,0), angle=87.8456, Dis=223.3229, angle diff=6.2196
nIndex=45, start=(324,159), end=(317,0), angle=87.6846, Dis=224.2145, angle diff=4.4697
nIndex=46, start=(324,159), end=(317,0), angle=87.6823, Dis=224.2145, angle diff=4.6330
nIndex=47, start=(324,159), end=(316,0), angle=87.3674, Dis=225.2389, angle diff=4.9503
nIndex=48, start=(326,159), end=(319,0), angle=87.6405, Dis=224.2145, angle diff=4.9922
nIndex=49, start=(328,159), end=(319,0), angle=86.8778, Dis=226.3942, angle diff=5.4817
nIndex=50, start=(327,159), end=(322,0), angle=88.2649, Dis=222.5657, angle diff=4.8573
nIndex=51, start=(326,159), end=(321,0), angle=88.5135, Dis=222.5657, angle diff=3.2217
nIndex=52, start=(325,159), end=(319,0), angle=87.8691, Dis=223.3229, angle diff=3.6174
nIndex=53, start=(327,159), end=(322,0), angle=88.5158, Dis=222.5657, angle diff=3.6151
nIndex=54, start=(329,159), end=(325,0), angle=88.8243, Dis=221.9442, angle diff=2.6599
nIndex=55, start=(331,159), end=(331,0), angle=90.2596, Dis=220.8351, angle diff=0.9161
nIndex=56, start=(331,159), end=(331,0), angle=90.3147, Dis=220.8351, angle diff=-0.5743
nIndex=57, start=(333,159), end=(336,0), angle=-88.7953, Dis=221.4597, angle diff=-1.5194
nIndex=58, start=(335,159), end=(342,0), angle=-87.4578, Dis=224.2145, angle diff=-3.7469
nIndex=59, start=(333,159), end=(341,0), angle=-86.9713, Dis=225.2389, angle diff=-5.5708
nIndex=60, start=(333,159), end=(341,0), angle=-87.0705, Dis=225.2389, angle diff=-5.9582
nIndex=61, start=(338,159), end=(348,0), angle=-86.2520, Dis=227.6786, angle diff=-6.6775
nIndex=62, start=(341,159), end=(350,0), angle=-86.5441, Dis=226.3942, angle diff=-7.2039
nIndex=63, start=(347,159), end=(351,0), angle=-88.3813, Dis=221.9442, angle diff=-5.0746
